sqrt_radius,isPrime,mod4,factors,cc,cartesian,img_ops,size
517,false,1,"[11, 47]","Complex[11 + 0im, 47 + 0im]","Complex[11 + 0im, 47 + 0im]","Complex[11 + 0im, 47 + 0im, 0 + 11im, 0 + 47im, 0 - 11im, 0 - 47im, -11 + 0im, -47 + 0im]","(8,)"
518,false,,"[2, 7, 37]","Complex[1 + 1im, 1 - 1im, 7 + 0im, 1 + 6im, 1 - 6im]",Complex[],Any[],"(0,)"
519,false,3,"[3, 173]","Complex[3 + 0im, 2 + 13im, 2 - 13im]",Complex[],Any[],"(0,)"
520,false,,"[2, 2, 2, 5, 13]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 3 + 2im, 3 - 2im]","Complex[-22 - 6im, -22 + 6im, 4 + 4im, 65 - 65im]","Complex[-22 - 6im, -22 + 6im, 4 + 4im, 65 - 65im, 6 - 22im, -6 - 22im, -4 + 4im, 65 + 65im, -6 + 22im, 6 + 22im, 4 - 4im, -65 - 65im, 22 + 6im, 22 - 6im, -4 - 4im, -65 + 65im]","(16,)"
521,true,1,[521],"Complex[11 + 20im, 11 - 20im]","Complex[11 + 20im, 11 - 20im]","Complex[11 + 20im, 11 - 20im, -20 + 11im, 20 + 11im, 20 - 11im, -20 - 11im, -11 - 20im, -11 + 20im]","(8,)"
522,false,,"[2, 3, 3, 29]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 2 + 5im, 2 - 5im]","Complex[-9 + 21im, -9 - 21im, 6 + 0im, 87 + 0im]","Complex[-9 + 21im, -9 - 21im, 6 + 0im, 87 + 0im, -21 - 9im, 21 - 9im, 0 + 6im, 0 + 87im, 21 + 9im, -21 + 9im, 0 - 6im, 0 - 87im, 9 - 21im, 9 + 21im, -6 + 0im, -87 + 0im]","(16,)"
523,true,3,[523],Complex[523 + 0im],Complex[523 + 0im],"Complex[523 + 0im, 0 + 523im, 0 - 523im, -523 + 0im]","(4,)"
524,false,,"[2, 2, 131]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 131 + 0im]",Complex[],Any[],"(0,)"
525,false,1,"[3, 5, 5, 7]","Complex[3 + 0im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im, 7 + 0im]","Complex[9 - 12im, 21 + 28im, 15 + 0im, 35 + 0im]","Complex[9 - 12im, 21 + 28im, 15 + 0im, 35 + 0im, 12 + 9im, -28 + 21im, 0 + 15im, 0 + 35im, -12 - 9im, 28 - 21im, 0 - 15im, 0 - 35im, -9 + 12im, -21 - 28im, -15 + 0im, -35 + 0im]","(16,)"
526,false,,"[2, 263]","Complex[1 + 1im, 1 - 1im, 263 + 0im]",Complex[],Any[],"(0,)"
527,false,3,"[17, 31]","Complex[1 + 4im, 1 - 4im, 31 + 0im]",Complex[],Any[],"(0,)"
528,false,,"[2, 2, 2, 2, 3, 11]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 11 + 0im]","Complex[-12 + 0im, -44 + 0im, 4 + 4im, 66 - 66im]","Complex[-12 + 0im, -44 + 0im, 4 + 4im, 66 - 66im, 0 - 12im, 0 - 44im, -4 + 4im, 66 + 66im, 0 + 12im, 0 + 44im, 4 - 4im, -66 - 66im, 12 + 0im, 44 + 0im, -4 - 4im, -66 + 66im]","(16,)"
529,false,1,"[23, 23]","Complex[23 + 0im, 23 + 0im]",Complex[23 + 0im],"Complex[23 + 0im, 0 + 23im, 0 - 23im, -23 + 0im]","(4,)"
530,false,,"[2, 5, 53]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 7 + 2im, 7 - 2im]","Complex[1 + 23im, 1 - 23im, 4 + 2im, 106 - 53im]","Complex[1 + 23im, 1 - 23im, 4 + 2im, 106 - 53im, -23 + 1im, 23 + 1im, -2 + 4im, 53 + 106im, 23 - 1im, -23 - 1im, 2 - 4im, -53 - 106im, -1 - 23im, -1 + 23im, -4 - 2im, -106 + 53im]","(16,)"
531,false,3,"[3, 3, 59]","Complex[3 + 0im, 3 + 0im, 59 + 0im]",Complex[],Any[],"(0,)"
532,false,,"[2, 2, 7, 19]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 0im, 19 + 0im]","Complex[0 + 14im, 0 - 38im, 2 + 2im, 133 - 133im]","Complex[0 + 14im, 0 - 38im, 2 + 2im, 133 - 133im, -14 + 0im, 38 + 0im, -2 + 2im, 133 + 133im, 14 + 0im, -38 + 0im, 2 - 2im, -133 - 133im, 0 - 14im, 0 + 38im, -2 - 2im, -133 + 133im]","(16,)"
533,false,1,"[13, 41]","Complex[3 + 2im, 3 - 2im, 4 + 5im, 4 - 5im]","Complex[2 + 23im, 2 - 23im, 13 + 0im, 41 + 0im]","Complex[2 + 23im, 2 - 23im, 13 + 0im, 41 + 0im, -23 + 2im, 23 + 2im, 0 + 13im, 0 + 41im, 23 - 2im, -23 - 2im, 0 - 13im, 0 - 41im, -2 - 23im, -2 + 23im, -13 + 0im, -41 + 0im]","(16,)"
534,false,,"[2, 3, 89]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 5 + 8im, 5 - 8im]",Complex[],Any[],"(0,)"
535,false,3,"[5, 107]","Complex[2 + 1im, 2 - 1im, 107 + 0im]",Complex[],Any[],"(0,)"
536,false,,"[2, 2, 2, 67]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 67 + 0im]",Complex[],Any[],"(0,)"
537,false,1,"[3, 179]","Complex[3 + 0im, 179 + 0im]","Complex[3 + 0im, 179 + 0im]","Complex[3 + 0im, 179 + 0im, 0 + 3im, 0 + 179im, 0 - 3im, 0 - 179im, -3 + 0im, -179 + 0im]","(8,)"
538,false,,"[2, 269]","Complex[1 + 1im, 1 - 1im, 10 + 13im, 10 - 13im]","Complex[-3 + 23im, -3 - 23im, 2 + 0im, 269 + 0im]","Complex[-3 + 23im, -3 - 23im, 2 + 0im, 269 + 0im, -23 - 3im, 23 - 3im, 0 + 2im, 0 + 269im, 23 + 3im, -23 + 3im, 0 - 2im, 0 - 269im, 3 - 23im, 3 + 23im, -2 + 0im, -269 + 0im]","(16,)"
539,false,3,"[7, 7, 11]","Complex[7 + 0im, 7 + 0im, 11 + 0im]",Complex[],Any[],"(0,)"
540,false,,"[2, 2, 3, 3, 3, 5]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 3 + 0im, 2 + 1im, 2 - 1im]",Complex[],Any[],"(0,)"
541,true,1,[541],"Complex[10 + 21im, 10 - 21im]","Complex[10 + 21im, 10 - 21im]","Complex[10 + 21im, 10 - 21im, -21 + 10im, 21 + 10im, 21 - 10im, -21 - 10im, -10 - 21im, -10 + 21im]","(8,)"
542,false,,"[2, 271]","Complex[1 + 1im, 1 - 1im, 271 + 0im]",Complex[],Any[],"(0,)"
543,false,3,"[3, 181]","Complex[3 + 0im, 10 + 9im, 10 - 9im]",Complex[],Any[],"(0,)"
544,false,,"[2, 2, 2, 2, 2, 17]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 4im, 1 - 4im]","Complex[12 - 20im, 12 + 20im, 8 + 0im, 68 + 0im]","Complex[12 - 20im, 12 + 20im, 8 + 0im, 68 + 0im, 20 + 12im, -20 + 12im, 0 + 8im, 0 + 68im, -20 - 12im, 20 - 12im, 0 - 8im, 0 - 68im, -12 + 20im, -12 - 20im, -8 + 0im, -68 + 0im]","(16,)"
545,false,1,"[5, 109]","Complex[2 + 1im, 2 - 1im, 3 + 10im, 3 - 10im]","Complex[-4 + 23im, -4 - 23im, 5 + 0im, 109 + 0im]","Complex[-4 + 23im, -4 - 23im, 5 + 0im, 109 + 0im, -23 - 4im, 23 - 4im, 0 + 5im, 0 + 109im, 23 + 4im, -23 + 4im, 0 - 5im, 0 - 109im, 4 - 23im, 4 + 23im, -5 + 0im, -109 + 0im]","(16,)"
546,false,,"[2, 3, 7, 13]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 7 + 0im, 3 + 2im, 3 - 2im]","Complex[3 + 15im, 7 - 35im, 6 + 0im, 91 + 0im]","Complex[3 + 15im, 7 - 35im, 6 + 0im, 91 + 0im, -15 + 3im, 35 + 7im, 0 + 6im, 0 + 91im, 15 - 3im, -35 - 7im, 0 - 6im, 0 - 91im, -3 - 15im, -7 + 35im, -6 + 0im, -91 + 0im]","(16,)"
547,true,3,[547],Complex[547 + 0im],Complex[547 + 0im],"Complex[547 + 0im, 0 + 547im, 0 - 547im, -547 + 0im]","(4,)"
548,false,,"[2, 2, 137]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 4 + 11im, 4 - 11im]","Complex[-22 + 8im, -22 - 8im, 2 + 2im, 137 - 137im]","Complex[-22 + 8im, -22 - 8im, 2 + 2im, 137 - 137im, -8 - 22im, 8 - 22im, -2 + 2im, 137 + 137im, 8 + 22im, -8 + 22im, 2 - 2im, -137 - 137im, 22 - 8im, 22 + 8im, -2 - 2im, -137 + 137im]","(16,)"
549,false,1,"[3, 3, 61]","Complex[3 + 0im, 3 + 0im, 5 + 6im, 5 - 6im]","Complex[15 + 18im, 15 - 18im, 9 + 0im, 61 + 0im]","Complex[15 + 18im, 15 - 18im, 9 + 0im, 61 + 0im, -18 + 15im, 18 + 15im, 0 + 9im, 0 + 61im, 18 - 15im, -18 - 15im, 0 - 9im, 0 - 61im, -15 - 18im, -15 + 18im, -9 + 0im, -61 + 0im]","(16,)"
550,false,,"[2, 5, 5, 11]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im, 11 + 0im]",Complex[],Any[],"(0,)"
551,false,3,"[19, 29]","Complex[19 + 0im, 2 + 5im, 2 - 5im]",Complex[],Any[],"(0,)"
552,false,,"[2, 2, 2, 3, 23]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 23 + 0im]","Complex[-6 + 6im, -46 - 46im, 4 + 0im, 138 + 0im]","Complex[-6 + 6im, -46 - 46im, 4 + 0im, 138 + 0im, -6 - 6im, 46 - 46im, 0 + 4im, 0 + 138im, 6 + 6im, -46 + 46im, 0 - 4im, 0 - 138im, 6 - 6im, 46 + 46im, -4 + 0im, -138 + 0im]","(16,)"
553,false,1,"[7, 79]","Complex[7 + 0im, 79 + 0im]","Complex[7 + 0im, 79 + 0im]","Complex[7 + 0im, 79 + 0im, 0 + 7im, 0 + 79im, 0 - 7im, 0 - 79im, -7 + 0im, -79 + 0im]","(8,)"
554,false,,"[2, 277]","Complex[1 + 1im, 1 - 1im, 9 + 14im, 9 - 14im]","Complex[-5 + 23im, -5 - 23im, 2 + 0im, 277 + 0im]","Complex[-5 + 23im, -5 - 23im, 2 + 0im, 277 + 0im, -23 - 5im, 23 - 5im, 0 + 2im, 0 + 277im, 23 + 5im, -23 + 5im, 0 - 2im, 0 - 277im, 5 - 23im, 5 + 23im, -2 + 0im, -277 + 0im]","(16,)"
555,false,3,"[3, 5, 37]","Complex[3 + 0im, 2 + 1im, 2 - 1im, 1 + 6im, 1 - 6im]",Complex[],Any[],"(0,)"
556,false,,"[2, 2, 139]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 139 + 0im]",Complex[],Any[],"(0,)"
557,true,1,[557],"Complex[14 + 19im, 14 - 19im]","Complex[14 + 19im, 14 - 19im]","Complex[14 + 19im, 14 - 19im, -19 + 14im, 19 + 14im, 19 - 14im, -19 - 14im, -14 - 19im, -14 + 19im]","(8,)"
558,false,,"[2, 3, 3, 31]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 31 + 0im]",Complex[],Any[],"(0,)"
559,false,3,"[13, 43]","Complex[3 + 2im, 3 - 2im, 43 + 0im]",Complex[],Any[],"(0,)"
560,false,,"[2, 2, 2, 2, 5, 7]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 7 + 0im]",Complex[],Any[],"(0,)"
561,false,1,"[3, 11, 17]","Complex[3 + 0im, 11 + 0im, 1 + 4im, 1 - 4im]","Complex[3 + 12im, 11 - 44im, 33 + 0im, 17 + 0im]","Complex[3 + 12im, 11 - 44im, 33 + 0im, 17 + 0im, -12 + 3im, 44 + 11im, 0 + 33im, 0 + 17im, 12 - 3im, -44 - 11im, 0 - 33im, 0 - 17im, -3 - 12im, -11 + 44im, -33 + 0im, -17 + 0im]","(16,)"
562,false,,"[2, 281]","Complex[1 + 1im, 1 - 1im, 16 + 5im, 16 - 5im]","Complex[11 + 21im, 11 - 21im, 2 + 0im, 281 + 0im]","Complex[11 + 21im, 11 - 21im, 2 + 0im, 281 + 0im, -21 + 11im, 21 + 11im, 0 + 2im, 0 + 281im, 21 - 11im, -21 - 11im, 0 - 2im, 0 - 281im, -11 - 21im, -11 + 21im, -2 + 0im, -281 + 0im]","(16,)"
563,true,3,[563],Complex[563 + 0im],Complex[563 + 0im],"Complex[563 + 0im, 0 + 563im, 0 - 563im, -563 + 0im]","(4,)"
564,false,,"[2, 2, 3, 47]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 47 + 0im]","Complex[0 + 6im, 0 - 94im, 2 + 2im, 141 - 141im]","Complex[0 + 6im, 0 - 94im, 2 + 2im, 141 - 141im, -6 + 0im, 94 + 0im, -2 + 2im, 141 + 141im, 6 + 0im, -94 + 0im, 2 - 2im, -141 - 141im, 0 - 6im, 0 + 94im, -2 - 2im, -141 + 141im]","(16,)"
565,false,1,"[5, 113]","Complex[2 + 1im, 2 - 1im, 8 + 7im, 8 - 7im]","Complex[9 + 22im, 9 - 22im, 5 + 0im, 113 + 0im]","Complex[9 + 22im, 9 - 22im, 5 + 0im, 113 + 0im, -22 + 9im, 22 + 9im, 0 + 5im, 0 + 113im, 22 - 9im, -22 - 9im, 0 - 5im, 0 - 113im, -9 - 22im, -9 + 22im, -5 + 0im, -113 + 0im]","(16,)"
566,false,,"[2, 283]","Complex[1 + 1im, 1 - 1im, 283 + 0im]",Complex[],Any[],"(0,)"
567,false,3,"[3, 3, 3, 3, 7]","Complex[3 + 0im, 3 + 0im, 3 + 0im, 3 + 0im, 7 + 0im]",Complex[],Any[],"(0,)"
568,false,,"[2, 2, 2, 71]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 71 + 0im]",Complex[],Any[],"(0,)"
569,true,1,[569],"Complex[20 + 13im, 20 - 13im]","Complex[20 + 13im, 20 - 13im]","Complex[20 + 13im, 20 - 13im, -13 + 20im, 13 + 20im, 13 - 20im, -13 - 20im, -20 - 13im, -20 + 13im]","(8,)"
570,false,,"[2, 3, 5, 19]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 2 + 1im, 2 - 1im, 19 + 0im]","Complex[9 + 3im, 57 - 19im, 6 + 0im, 95 + 0im]","Complex[9 + 3im, 57 - 19im, 6 + 0im, 95 + 0im, -3 + 9im, 19 + 57im, 0 + 6im, 0 + 95im, 3 - 9im, -19 - 57im, 0 - 6im, 0 - 95im, -9 - 3im, -57 + 19im, -6 + 0im, -95 + 0im]","(16,)"
571,true,3,[571],Complex[571 + 0im],Complex[571 + 0im],"Complex[571 + 0im, 0 + 571im, 0 - 571im, -571 + 0im]","(4,)"
572,false,,"[2, 2, 11, 13]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 11 + 0im, 3 + 2im, 3 - 2im]",Complex[],Any[],"(0,)"
573,false,1,"[3, 191]","Complex[3 + 0im, 191 + 0im]","Complex[3 + 0im, 191 + 0im]","Complex[3 + 0im, 191 + 0im, 0 + 3im, 0 + 191im, 0 - 3im, 0 - 191im, -3 + 0im, -191 + 0im]","(8,)"
574,false,,"[2, 7, 41]","Complex[1 + 1im, 1 - 1im, 7 + 0im, 4 + 5im, 4 - 5im]",Complex[],Any[],"(0,)"
575,false,3,"[5, 5, 23]","Complex[2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im, 23 + 0im]",Complex[],Any[],"(0,)"
576,false,,"[2, 2, 2, 2, 2, 2, 3, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im]","Complex[0 - 24im, 0 + 24im, 8 + 8im, 36 - 36im]","Complex[0 - 24im, 0 + 24im, 8 + 8im, 36 - 36im, 24 + 0im, -24 + 0im, -8 + 8im, 36 + 36im, 8 - 8im, -36 - 36im, -8 - 8im, -36 + 36im]","(12,)"
577,true,1,[577],"Complex[1 + 24im, 1 - 24im]","Complex[1 + 24im, 1 - 24im]","Complex[1 + 24im, 1 - 24im, -24 + 1im, 24 + 1im, 24 - 1im, -24 - 1im, -1 - 24im, -1 + 24im]","(8,)"
578,false,,"[2, 17, 17]","Complex[1 + 1im, 1 - 1im, 1 + 4im, 1 - 4im, 1 + 4im, 1 - 4im]","Complex[-23 - 7im, -23 + 7im, 2 + 8im, 17 - 68im]","Complex[-23 - 7im, -23 + 7im, 2 + 8im, 17 - 68im, 7 - 23im, -7 - 23im, -8 + 2im, 68 + 17im, -7 + 23im, 7 + 23im, 8 - 2im, -68 - 17im, 23 + 7im, 23 - 7im, -2 - 8im, -17 + 68im]","(16,)"
579,false,3,"[3, 193]","Complex[3 + 0im, 12 + 7im, 12 - 7im]",Complex[],Any[],"(0,)"
580,false,,"[2, 2, 5, 29]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 2 + 5im, 2 - 5im]","Complex[-24 - 2im, -24 + 2im, 4 + 0im, 145 + 0im]","Complex[-24 - 2im, -24 + 2im, 4 + 0im, 145 + 0im, 2 - 24im, -2 - 24im, 0 + 4im, 0 + 145im, -2 + 24im, 2 + 24im, 0 - 4im, 0 - 145im, 24 + 2im, 24 - 2im, -4 + 0im, -145 + 0im]","(16,)"
581,false,1,"[7, 83]","Complex[7 + 0im, 83 + 0im]","Complex[7 + 0im, 83 + 0im]","Complex[7 + 0im, 83 + 0im, 0 + 7im, 0 + 83im, 0 - 7im, 0 - 83im, -7 + 0im, -83 + 0im]","(8,)"
582,false,,"[2, 3, 97]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 4 + 9im, 4 - 9im]",Complex[],Any[],"(0,)"
583,false,3,"[11, 53]","Complex[11 + 0im, 7 + 2im, 7 - 2im]",Complex[],Any[],"(0,)"
584,false,,"[2, 2, 2, 73]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 8 + 3im, 8 - 3im]","Complex[-22 + 10im, -22 - 10im, 4 + 0im, 146 + 0im]","Complex[-22 + 10im, -22 - 10im, 4 + 0im, 146 + 0im, -10 - 22im, 10 - 22im, 0 + 4im, 0 + 146im, 10 + 22im, -10 + 22im, 0 - 4im, 0 - 146im, 22 - 10im, 22 + 10im, -4 + 0im, -146 + 0im]","(16,)"
585,false,1,"[3, 3, 5, 13]","Complex[3 + 0im, 3 + 0im, 2 + 1im, 2 - 1im, 3 + 2im, 3 - 2im]","Complex[12 + 21im, 12 - 21im, 18 + 9im, 26 - 13im]","Complex[12 + 21im, 12 - 21im, 18 + 9im, 26 - 13im, -21 + 12im, 21 + 12im, -9 + 18im, 13 + 26im, 21 - 12im, -21 - 12im, 9 - 18im, -13 - 26im, -12 - 21im, -12 + 21im, -18 - 9im, -26 + 13im]","(16,)"
586,false,,"[2, 293]","Complex[1 + 1im, 1 - 1im, 2 + 17im, 2 - 17im]","Complex[-15 + 19im, -15 - 19im, 2 + 0im, 293 + 0im]","Complex[-15 + 19im, -15 - 19im, 2 + 0im, 293 + 0im, -19 - 15im, 19 - 15im, 0 + 2im, 0 + 293im, 19 + 15im, -19 + 15im, 0 - 2im, 0 - 293im, 15 - 19im, 15 + 19im, -2 + 0im, -293 + 0im]","(16,)"
587,true,3,[587],Complex[587 + 0im],Complex[587 + 0im],"Complex[587 + 0im, 0 + 587im, 0 - 587im, -587 + 0im]","(4,)"
588,false,,"[2, 2, 3, 7, 7]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 7 + 0im, 7 + 0im]",Complex[],Any[],"(0,)"
589,false,1,"[19, 31]","Complex[19 + 0im, 31 + 0im]","Complex[19 + 0im, 31 + 0im]","Complex[19 + 0im, 31 + 0im, 0 + 19im, 0 + 31im, 0 - 19im, 0 - 31im, -19 + 0im, -31 + 0im]","(8,)"
590,false,,"[2, 5, 59]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 59 + 0im]",Complex[],Any[],"(0,)"
591,false,3,"[3, 197]","Complex[3 + 0im, 1 + 14im, 1 - 14im]",Complex[],Any[],"(0,)"
592,false,,"[2, 2, 2, 2, 37]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 6im, 1 - 6im]","Complex[-4 - 24im, -4 + 24im, 4 + 4im, 74 - 74im]","Complex[-4 - 24im, -4 + 24im, 4 + 4im, 74 - 74im, 24 - 4im, -24 - 4im, -4 + 4im, 74 + 74im, -24 + 4im, 24 + 4im, 4 - 4im, -74 - 74im, 4 + 24im, 4 - 24im, -4 - 4im, -74 + 74im]","(16,)"
593,true,1,[593],"Complex[23 + 8im, 23 - 8im]","Complex[23 + 8im, 23 - 8im]","Complex[23 + 8im, 23 - 8im, -8 + 23im, 8 + 23im, 8 - 23im, -8 - 23im, -23 - 8im, -23 + 8im]","(8,)"
594,false,,"[2, 3, 3, 3, 11]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 3 + 0im, 11 + 0im]","Complex[9 + 9im, 33 - 33im, 6 + 0im, 99 + 0im]","Complex[9 + 9im, 33 - 33im, 6 + 0im, 99 + 0im, -9 + 9im, 33 + 33im, 0 + 6im, 0 + 99im, 9 - 9im, -33 - 33im, 0 - 6im, 0 - 99im, -9 - 9im, -33 + 33im, -6 + 0im, -99 + 0im]","(16,)"
595,false,3,"[5, 7, 17]","Complex[2 + 1im, 2 - 1im, 7 + 0im, 1 + 4im, 1 - 4im]",Complex[],Any[],"(0,)"
596,false,,"[2, 2, 149]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 10im, 7 - 10im]","Complex[-20 + 14im, -20 - 14im, 2 + 2im, 149 - 149im]","Complex[-20 + 14im, -20 - 14im, 2 + 2im, 149 - 149im, -14 - 20im, 14 - 20im, -2 + 2im, 149 + 149im, 14 + 20im, -14 + 20im, 2 - 2im, -149 - 149im, 20 - 14im, 20 + 14im, -2 - 2im, -149 + 149im]","(16,)"
597,false,1,"[3, 199]","Complex[3 + 0im, 199 + 0im]","Complex[3 + 0im, 199 + 0im]","Complex[3 + 0im, 199 + 0im, 0 + 3im, 0 + 199im, 0 - 3im, 0 - 199im, -3 + 0im, -199 + 0im]","(8,)"
598,false,,"[2, 13, 23]","Complex[1 + 1im, 1 - 1im, 3 + 2im, 3 - 2im, 23 + 0im]",Complex[],Any[],"(0,)"
599,true,3,[599],Complex[599 + 0im],Complex[599 + 0im],"Complex[599 + 0im, 0 + 599im, 0 - 599im, -599 + 0im]","(4,)"
600,false,,"[2, 2, 2, 3, 5, 5]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im]",Complex[],Any[],"(0,)"
601,true,1,[601],"Complex[5 + 24im, 5 - 24im]","Complex[5 + 24im, 5 - 24im]","Complex[5 + 24im, 5 - 24im, -24 + 5im, 24 + 5im, 24 - 5im, -24 - 5im, -5 - 24im, -5 + 24im]","(8,)"
602,false,,"[2, 7, 43]","Complex[1 + 1im, 1 - 1im, 7 + 0im, 43 + 0im]","Complex[7 + 7im, 43 - 43im, 2 + 0im, 301 + 0im]","Complex[7 + 7im, 43 - 43im, 2 + 0im, 301 + 0im, -7 + 7im, 43 + 43im, 0 + 2im, 0 + 301im, 7 - 7im, -43 - 43im, 0 - 2im, 0 - 301im, -7 - 7im, -43 + 43im, -2 + 0im, -301 + 0im]","(16,)"
603,false,3,"[3, 3, 67]","Complex[3 + 0im, 3 + 0im, 67 + 0im]",Complex[],Any[],"(0,)"
604,false,,"[2, 2, 151]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 151 + 0im]",Complex[],Any[],"(0,)"
605,false,1,"[5, 11, 11]","Complex[2 + 1im, 2 - 1im, 11 + 0im, 11 + 0im]","Complex[22 + 11im, 22 - 11im, 5 + 0im, 121 + 0im]","Complex[22 + 11im, 22 - 11im, 5 + 0im, 121 + 0im, -11 + 22im, 11 + 22im, 0 + 5im, 0 + 121im, 11 - 22im, -11 - 22im, 0 - 5im, 0 - 121im, -22 - 11im, -22 + 11im, -5 + 0im, -121 + 0im]","(16,)"
606,false,,"[2, 3, 101]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 10 + 1im, 10 - 1im]",Complex[],Any[],"(0,)"
607,true,3,[607],Complex[607 + 0im],Complex[607 + 0im],"Complex[607 + 0im, 0 + 607im, 0 - 607im, -607 + 0im]","(4,)"
608,false,,"[2, 2, 2, 2, 2, 19]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 19 + 0im]",Complex[],Any[],"(0,)"
609,false,1,"[3, 7, 29]","Complex[3 + 0im, 7 + 0im, 2 + 5im, 2 - 5im]","Complex[6 + 15im, 14 - 35im, 21 + 0im, 29 + 0im]","Complex[6 + 15im, 14 - 35im, 21 + 0im, 29 + 0im, -15 + 6im, 35 + 14im, 0 + 21im, 0 + 29im, 15 - 6im, -35 - 14im, 0 - 21im, 0 - 29im, -6 - 15im, -14 + 35im, -21 + 0im, -29 + 0im]","(16,)"
610,false,,"[2, 5, 61]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 5 + 6im, 5 - 6im]","Complex[-13 + 21im, -13 - 21im, 4 + 2im, 122 - 61im]","Complex[-13 + 21im, -13 - 21im, 4 + 2im, 122 - 61im, -21 - 13im, 21 - 13im, -2 + 4im, 61 + 122im, 21 + 13im, -21 + 13im, 2 - 4im, -61 - 122im, 13 - 21im, 13 + 21im, -4 - 2im, -122 + 61im]","(16,)"
611,false,3,"[13, 47]","Complex[3 + 2im, 3 - 2im, 47 + 0im]",Complex[],Any[],"(0,)"
612,false,,"[2, 2, 3, 3, 17]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 1 + 4im, 1 - 4im]","Complex[-24 + 6im, -24 - 6im, 4 + 0im, 153 + 0im]","Complex[-24 + 6im, -24 - 6im, 4 + 0im, 153 + 0im, -6 - 24im, 6 - 24im, 0 + 4im, 0 + 153im, 6 + 24im, -6 + 24im, 0 - 4im, 0 - 153im, 24 - 6im, 24 + 6im, -4 + 0im, -153 + 0im]","(16,)"
613,true,1,[613],"Complex[18 + 17im, 18 - 17im]","Complex[18 + 17im, 18 - 17im]","Complex[18 + 17im, 18 - 17im, -17 + 18im, 17 + 18im, 17 - 18im, -17 - 18im, -18 - 17im, -18 + 17im]","(8,)"
