sqrt_radius,isPrime,mod4,factors,cc,cartesian,img_ops,size
436,false,,"[2, 2, 109]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 10im, 3 - 10im]","Complex[-20 + 6im, -20 - 6im, 2 + 2im, 109 - 109im]","Complex[-20 + 6im, -20 - 6im, 2 + 2im, 109 - 109im, -6 - 20im, 6 - 20im, -2 + 2im, 109 + 109im, 6 + 20im, -6 + 20im, 2 - 2im, -109 - 109im, 20 - 6im, 20 + 6im, -2 - 2im, -109 + 109im]","(16,)"
437,false,1,"[19, 23]","Complex[19 + 0im, 23 + 0im]","Complex[19 + 0im, 23 + 0im]","Complex[19 + 0im, 23 + 0im, 0 + 19im, 0 + 23im, 0 - 19im, 0 - 23im, -19 + 0im, -23 + 0im]","(8,)"
438,false,,"[2, 3, 73]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 8 + 3im, 8 - 3im]",Complex[],Any[],"(0,)"
439,true,3,[439],Complex[439 + 0im],Complex[439 + 0im],"Complex[439 + 0im, 0 + 439im, 0 - 439im, -439 + 0im]","(4,)"
440,false,,"[2, 2, 2, 5, 11]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 11 + 0im]",Complex[],Any[],"(0,)"
441,false,1,"[3, 3, 7, 7]","Complex[3 + 0im, 3 + 0im, 7 + 0im, 7 + 0im]","Complex[21 + 0im, 9 + 0im, 49 + 0im]","Complex[21 + 0im, 9 + 0im, 49 + 0im, 0 + 21im, 0 + 9im, 0 + 49im, 0 - 21im, 0 - 9im, 0 - 49im, -21 + 0im, -9 + 0im, -49 + 0im]","(12,)"
442,false,,"[2, 13, 17]","Complex[1 + 1im, 1 - 1im, 3 + 2im, 3 - 2im, 1 + 4im, 1 - 4im]","Complex[-19 + 9im, -19 - 9im, 6 + 4im, 51 - 34im]","Complex[-19 + 9im, -19 - 9im, 6 + 4im, 51 - 34im, -9 - 19im, 9 - 19im, -4 + 6im, 34 + 51im, 9 + 19im, -9 + 19im, 4 - 6im, -34 - 51im, 19 - 9im, 19 + 9im, -6 - 4im, -51 + 34im]","(16,)"
443,true,3,[443],Complex[443 + 0im],Complex[443 + 0im],"Complex[443 + 0im, 0 + 443im, 0 - 443im, -443 + 0im]","(4,)"
444,false,,"[2, 2, 3, 37]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 1 + 6im, 1 - 6im]",Complex[],Any[],"(0,)"
445,false,1,"[5, 89]","Complex[2 + 1im, 2 - 1im, 5 + 8im, 5 - 8im]","Complex[2 + 21im, 2 - 21im, 5 + 0im, 89 + 0im]","Complex[2 + 21im, 2 - 21im, 5 + 0im, 89 + 0im, -21 + 2im, 21 + 2im, 0 + 5im, 0 + 89im, 21 - 2im, -21 - 2im, 0 - 5im, 0 - 89im, -2 - 21im, -2 + 21im, -5 + 0im, -89 + 0im]","(16,)"
446,false,,"[2, 223]","Complex[1 + 1im, 1 - 1im, 223 + 0im]",Complex[],Any[],"(0,)"
447,false,3,"[3, 149]","Complex[3 + 0im, 7 + 10im, 7 - 10im]",Complex[],Any[],"(0,)"
448,false,,"[2, 2, 2, 2, 2, 2, 7]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 0im]",Complex[],Any[],"(0,)"
449,true,1,[449],"Complex[20 + 7im, 20 - 7im]","Complex[20 + 7im, 20 - 7im]","Complex[20 + 7im, 20 - 7im, -7 + 20im, 7 + 20im, 7 - 20im, -7 - 20im, -20 - 7im, -20 + 7im]","(8,)"
450,false,,"[2, 3, 3, 5, 5]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im]","Complex[-3 + 21im, -3 - 21im, 18 + 0im, 25 + 0im]","Complex[-3 + 21im, -3 - 21im, 18 + 0im, 25 + 0im, -21 - 3im, 21 - 3im, 0 + 18im, 0 + 25im, 21 + 3im, -21 + 3im, 0 - 18im, 0 - 25im, 3 - 21im, 3 + 21im, -18 + 0im, -25 + 0im]","(16,)"
451,false,3,"[11, 41]","Complex[11 + 0im, 4 + 5im, 4 - 5im]",Complex[],Any[],"(0,)"
452,false,,"[2, 2, 113]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 8 + 7im, 8 - 7im]","Complex[-14 + 16im, -14 - 16im, 2 + 2im, 113 - 113im]","Complex[-14 + 16im, -14 - 16im, 2 + 2im, 113 - 113im, -16 - 14im, 16 - 14im, -2 + 2im, 113 + 113im, 16 + 14im, -16 + 14im, 2 - 2im, -113 - 113im, 14 - 16im, 14 + 16im, -2 - 2im, -113 + 113im]","(16,)"
453,false,1,"[3, 151]","Complex[3 + 0im, 151 + 0im]","Complex[3 + 0im, 151 + 0im]","Complex[3 + 0im, 151 + 0im, 0 + 3im, 0 + 151im, 0 - 3im, 0 - 151im, -3 + 0im, -151 + 0im]","(8,)"
454,false,,"[2, 227]","Complex[1 + 1im, 1 - 1im, 227 + 0im]",Complex[],Any[],"(0,)"
455,false,3,"[5, 7, 13]","Complex[2 + 1im, 2 - 1im, 7 + 0im, 3 + 2im, 3 - 2im]",Complex[],Any[],"(0,)"
456,false,,"[2, 2, 2, 3, 19]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 19 + 0im]","Complex[-6 + 6im, -38 - 38im, 4 + 0im, 114 + 0im]","Complex[-6 + 6im, -38 - 38im, 4 + 0im, 114 + 0im, -6 - 6im, 38 - 38im, 0 + 4im, 0 + 114im, 6 + 6im, -38 + 38im, 0 - 4im, 0 - 114im, 6 - 6im, 38 + 38im, -4 + 0im, -114 + 0im]","(16,)"
457,true,1,[457],"Complex[21 + 4im, 21 - 4im]","Complex[21 + 4im, 21 - 4im]","Complex[21 + 4im, 21 - 4im, -4 + 21im, 4 + 21im, 4 - 21im, -4 - 21im, -21 - 4im, -21 + 4im]","(8,)"
458,false,,"[2, 229]","Complex[1 + 1im, 1 - 1im, 15 + 2im, 15 - 2im]","Complex[13 + 17im, 13 - 17im, 2 + 0im, 229 + 0im]","Complex[13 + 17im, 13 - 17im, 2 + 0im, 229 + 0im, -17 + 13im, 17 + 13im, 0 + 2im, 0 + 229im, 17 - 13im, -17 - 13im, 0 - 2im, 0 - 229im, -13 - 17im, -13 + 17im, -2 + 0im, -229 + 0im]","(16,)"
459,false,3,"[3, 3, 3, 17]","Complex[3 + 0im, 3 + 0im, 3 + 0im, 1 + 4im, 1 - 4im]",Complex[],Any[],"(0,)"
460,false,,"[2, 2, 5, 23]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 23 + 0im]",Complex[],Any[],"(0,)"
461,true,1,[461],"Complex[19 + 10im, 19 - 10im]","Complex[19 + 10im, 19 - 10im]","Complex[19 + 10im, 19 - 10im, -10 + 19im, 10 + 19im, 10 - 19im, -10 - 19im, -19 - 10im, -19 + 10im]","(8,)"
462,false,,"[2, 3, 7, 11]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 7 + 0im, 11 + 0im]",Complex[],Any[],"(0,)"
463,true,3,[463],Complex[463 + 0im],Complex[463 + 0im],"Complex[463 + 0im, 0 + 463im, 0 - 463im, -463 + 0im]","(4,)"
